query_index,gt_rank,ap,precision_5,precision_10,recall_5,recall_10,f1_5,f1_10
1659,5,0.2,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1660,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1661,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1662,9,0.1111111111111111,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1663,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1664,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1666,9,0.1111111111111111,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1667,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668,6,0.16666666666666666,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1669,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1670,6,0.16666666666666666,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1671,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1672,4,0.25,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1673,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1674,8,0.125,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1675,3,0.3333333333333333,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1676,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1677,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1678,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1679,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1680,9,0.1111111111111111,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1681,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1683,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1684,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1685,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1686,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1687,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1688,10,0.1,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1689,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1690,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691,7,0.14285714285714285,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1692,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1693,3,0.3333333333333333,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1694,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1695,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1696,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1697,3,0.3333333333333333,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1698,4,0.25,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1699,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1700,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1701,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1704,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1705,8,0.125,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1706,4,0.25,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1707,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1708,7,0.14285714285714285,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1709,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1711,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1712,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1714,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1715,5,0.2,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1716,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1717,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1718,6,0.16666666666666666,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1719,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1720,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1723,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1724,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1725,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1726,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1727,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1728,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1730,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1731,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1732,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1733,4,0.25,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1734,10,0.1,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1735,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1736,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1737,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1738,3,0.3333333333333333,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1739,6,0.16666666666666666,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1740,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1741,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1742,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1743,9,0.1111111111111111,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1744,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1745,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1746,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1747,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1748,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1749,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1750,5,0.2,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1751,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1753,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1754,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1755,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
